Tanggal,Penulis,Judul,Artikel,Label
" Senin, 4 Desember 2023 20:01 WIB",,Sembulungan dan Hinako resmi perkuat pertahanan laut Indonesia,"                     ANTARA - Kapal Angkatan Laut (KAL) Sembulungan dan Hinako pada Senin (4/12), resmi diluncurkan oleh Kepala Staf TNI Angkatan Laut Laksamana TNI Muhammad Ali. Kedua kapal patroli yang diproduksi di Indonesia tersebut akan memperkuat pertahanan di Pangkalan Angkatan Laut (Lanal) Banyuwangi dan Pulau Nias. (Holdan Parlaungan/Rizky Bagus Dhermawan/Farah Khadija)        ",hukum
" Senin, 4 Desember 2023 19:57 WIB",,Wamenkumham Eddy Hiariej jadi saksi dugaan menerima gratifikasi,,hukum
" Senin, 4 Desember 2023 19:54 WIB",Pewarta: Fianda Sjofjan RassatEditor: Tasrief Tarmizi  COPYRIGHT © ANTARA 2023,Eddy Hiariej ajukan praperadilan terkait penetapan tersangka oleh KPK,"     Jakarta (ANTARA) - Wakil Menteri Hukum dan Hak Asasi Manusia (Wamenkumham) Edward Omar Sharif Hiariej alias Eddy Hiariej mengajukan gugatan praperadilan ke Pengadilan Negeri Jakarta Selatan, terkait penetapan dirinya sebagai tersangka oleh Komisi Pemberantasan Korupsi (KPK).   Gugatan dengan nomor perkara 134/Pid.Pra/2023/PN JKT.SEL tersebut didaftarkan pada Senin dengan klasifikasi perkara sah atau tidaknya penetapan tersangka.   Adapun pemohon dalam gugatan tersebut selain Wamenkumham Eddy Hiariej adalah asisten pribadi Eddy Hiariej, Yogi Arie Rukmana, dan advokat Yosie Andika Mulyadi.   Informasi gugatan praperadilan tersebut dibenarkan oleh Humas PN Jakarta Selatan Djuyamto.   ""Sidang pertama Senin, 11 Desember 2023 dengan Hakim Tunggal Estiono SH, MH,"" kata Djuyamto saat dikonfirmasi di Jakarta, Senin.   Sebelumnya, penyidik KPK mengatakan pihaknya telah menandatangani surat penetapan Wamenkumham Eddy Hiariej sebagai tersangka kasus dugaan suap sekitar dua pekan lalu.   ""Penetapan tersangka Wamenkumham, benar, itu sudah kami tanda tangani sekitar dua minggu lalu,"" kata Wakil Ketua KPK Alexander Marwata di Gedung Merah Putih KPK, Jakarta Selatan, Kamis (9/11).   Alex mengatakan pihaknya turut menetapkan tersangka lain dalam penyidikan kasus dugaan korupsi tersebut. ""Empat tersangka, dari pihak tiga penerima, pemberi satu,"" kata Alex.   Terpisah, Kementerian Sekretariat Negara (Kemensetneg) telah menerima surat pemberitahuan penetapan tersangka atas nama Wakil Menteri Hukum dan HAM Edward Omar Sharif Hiariej.   ""Hari ini, pukul 14.48 WIB, Kemensetneg telah menerima surat pemberitahuan penetapan tersangka Wamenkumham, Bapak Edward Omar Sharif Hiariej,"" kata Koordinator Staf Khusus Presiden Ari Dwipayana dalam pesan singkat di Jakarta, Jumat (1/12).   Ari menyampaikan selanjutnya surat tersebut akan disampaikan kepada Presiden Joko Widodo.   ""Saat ini, Bapak Presiden sedang berada di Dubai untuk menghadiri World Climate Action Summit COP 28. Rencananya Bapak Presiden kembali ke tanah air hari Minggu, 3 Desember 2023,"" kata dia.  Baca juga: Ini alasan Polda Metro Jaya panggil kembali Firli Bahuri  Baca juga: Wamenkumham Eddy Hiariej bungkam usai enam jam diperiksa KPK  Pewarta: Fianda Sjofjan RassatEditor: Tasrief Tarmizi    COPYRIGHT © ANTARA 2023 ",hukum
" Senin, 4 Desember 2023 19:42 WIB",,Kanwil BPN Sulsel serahkan 200 sertifikat tanah ke lima kabupaten-kota,                     ANTARA - Kantor Wilayah Badan Pertanahan Nasional (BPN) Sulawesi Selatan menyerahkan 200 sertifikat ke perwakilan 5 kabupaten-kota se-Sulsel pada Senin (4/12). Sulsel juga mulai menerapkan sertifikat elektronik yang merupakan upaya pemerintah mempermudah pengurusan administrasi sertifikat tanah sesuai roadmap transformasi digital Kementrian Agraria dan Tata Ruang (ATR) Badan Pertanahan Nasional (BPN) menuju institusi berstandar dunia. (Shintia Aryanti Krisna/Rizky Bagus Dhermawan/HilaryPasulu)        ,hukum
" Senin, 4 Desember 2023 19:28 WIB",,Perketat pengawasan penyelundupan BBL di Bandara Soekarno Hatta,"                     ANTARA - Kementerian Kelautan dan Perikanan, melalui Direktorat Jenderal Pengawasan Sumber Daya Kelautan dan Perikanan (PSDKP), menyiagakan petugas pengawas untuk mencegah terjadinya penyelundupan Benih Bening Lobster (BBL) di Bandara Internasional Soekarno Hatta, Kota Tangerang, Banten. Pengawasan ini sangat penting untuk mencegah perbuatan ilegal karena pemerintah tidak memberikan izin ekspor BBL ke luar negeri. (Agung Andhika Indrawan/Sandy Arizona/Rinto A Navis)        ",hukum
" Senin, 4 Desember 2023 19:18 WIB",Pewarta: Melalusa Susthira KhalidaEditor: Guido Merung  COPYRIGHT © ANTARA 2023,Wakil Ketua DPR respons soal urgensi revisi UU MK bergulir di parlemen,"     Jakarta (ANTARA) - Wakil Ketua DPR RI Sufmi Dasco Ahmad merespons terkait urgensi pembahasan Rancangan Undang-Undang (RUU) tentang perubahan keempat UU Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi (MK) yang bergulir di parlemen.   ""Revisi UU MK ini bukan (baru bergulir) pada saat-saat seperti ini. Jadi kalau dibilang urgensinya ini sudah berproses dari bulan Februari sehingga kemudian proses-proses ini berjalan, sehingga kemudian kemarin itu sudah sampai pada puncaknya persetujuan antara pemerintah dan DPR,"" kata Dasco di Kompleks Parlemen, Senayan, Jakarta, Senin.   Dia menjelaskan bahwa RUU tersebut bukan tiba-tiba saja digulirkan di DPR, melainkan telah melewati sejumlah proses, di mana sembilan fraksi di parlemen dan pemerintah sudah menyepakati pula agar Revisi UU MK itu dibawa ke Rapat Paripurna.   ""Jadi kemarin dalam rapat terakhir antara pemerintah dengan DPR, yang pertama itu sembilan fraksi sudah menyepakati isi dari Pasal 87. Saya enggak tahu versi yang mana yang dipegang Pak Mahfud. Lalu kemudian dari pemerintah itu ada Kemenkumham yang juga sudah menyepakati,"" ujarnya.   Dia juga membantah adanya aksi walk out dalam rapat konsinyering Komisi III DPR dengan pihak pemerintah yakni Kemenkumham dan Kemenpolhukam saat membahas revisi UU MK.   ""Menurut saya enggak ada yang walk out ya karena kalau ada salah satu pihak yang izin keluar, kemudian masih ada pihak lain yang ada di dalam, kalau walk out itu ya seperti meninggalkan ruang sidang begitu kan,"" katanya.   Dasco pun memastikan bahwa revisi UU MK tidak akan masuk dalam agenda pengambilan persetujuan pada Rapat Paripurna DPR yang digelar Selasa (5/12) esok hari.   ""Kalau itu nanti sesuai dengan kesepakatan lagi dengan teman-teman fraksi sampai dengan kapan, yang pasti tanggal 5 Desember besok itu tidak ada paripurna revisi UU MK,"" tuturnya.   Dia mengatakan fraksi-fraksi di DPR sepakat menunda pengambilan persetujuan RUU perubahan keempat UU MK dalam rapat paripurna terdekat untuk menghindari narasi publik bahwa persetujuan atas RUU tersebut merugikan salah satu pihak tertentu dan mengandung unsur politis.   ""Kawan-kawan mempertimbangkan anggapan bahwa UU ini akan dipolitisasi dan lain-lain, sehingga kemudian salah satu pertimbangannya teman-teman kemudian sepakat untuk menunda paripurna revisi UU MK,"" ujar dia.   Sebelumnya, Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menko Polhukam) Mahfud MD mengatakan pemerintah telah berkirim surat kepada Dewan Perwakilan Rakyat (DPR) RI meminta agar Rancangan Undang-Undang (RUU) tentang perubahan keempat UU Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi (MK) tidak disahkan.   Mahfud membenarkan bahwa pemerintah belum menyetujui RUU tersebut. Secara teknis prosedural, kata Mahfud, belum ada keputusan rapat tingkat satu bahwa pemerintah sudah menandatangani RUU dimaksud bersama seluruh fraksi di DPR RI.   Pemerintah, kata Mahfud, mengusulkan kepada DPR agar mempertimbangkan terlebih dahulu peraturan peralihan yang menyangkut masa jabatan dan usia pensiun hakim MK. Baca juga: Dasco: DPR sepakat tunda revisi UU MK diparipurnakan  Baca juga: Pemerintah bersurat ke DPR minta perubahan UU MK tak disahkan  Baca juga: Jimly sebut RUU MK cerminkan kemarahan pembatalan UU Ciptaker  Baca juga: Hakim MK dorong finalisasi RUU KUHPPewarta: Melalusa Susthira KhalidaEditor: Guido Merung    COPYRIGHT © ANTARA 2023 ",hukum
" Senin, 4 Desember 2023 18:56 WIB",,KPK dan Polri Kerja sama dalam pemberantasan korupsi,,hukum
" Senin, 4 Desember 2023 18:35 WIB",,KPK-Polri teken MOU perkuat penanganan tindak pidana korupsi,"                     ANTARA - Komisi Pemberantasan Korupsi (KPK) dan Polri menandatangani nota kesepahaman (MOU) guna memperkuat koordinasi dan supervisi penanganan perkara tindak pidana korupsi. Penandatanganan tersebut dilakukan di Gedung Merah Putih Jakarta, Senin (4/12).(Hreeloita Dharma Shanti /Azhfar Muhammad Robbani/Andi Bagasela/Ludmila Yusufin Diah Nastiti)        ",hukum
" Senin, 4 Desember 2023 18:14 WIB",Pewarta: Victorianus Sat PranyotoEditor: Guido Merung  COPYRIGHT © ANTARA 2023,Bahu Teman Pemkab Sleman beri bantuan hukum bagi keluarga miskin,"     Sleman (ANTARA) - Pemerintah Kabupaten(Pemkab) Sleman, Daerah Istimewa Yogyakarta(DIY) siap memberikan bantuan kepada masyarakat miskin atau kurang mampu mendapatkan akses terhadap keadilan dan kesamaan di hadapan hukum melalui ""Bahu Teman"" atau Bantuan Hukum Bagi Masyarakat Miskin Kabupaten Sleman.   ""Setiap orang termasuk seluruh warga Kabupaten Sleman berhak mendapatkan akses terhadap keadilan dan kesamaan di hadapan hukum sebagai implementasi negara hukum,"" kata Bupati Sleman Kustini Sri Purnomo pada Sosialisasi Pemberian Bantuan Hukum Bagi Masyarakat Miskin ""Bahu Teman"" di Sleman, Senin.   Kegiatan sosialisasi ini juga dihadiri perwakilan Kemenkumham DIY serta Direktur Organisasi Bantuan Hukum se-DIY dan perwakilan masyarakat.   Kustini mengatakan, masyarakat miskin atau kurang mampu berpotensi mendapatkan ketidakadilan dan permasalahan hukum sehingga pemerintah perlu hadir dalam bentuk pemberian bantuan hukum.   ""Kebijakan pemberian bantuan hukum ini selain mendasarkan pada undang-undang bantuan hukum juga melengkapi layanan pemerintah kepada masyarakat miskin seperti bidang pendidikan, kesehatan dan sosial,"" katanya.   Kepala Bagian Hukum Sekretariat Daerah Kabupaten Sleman Anton Sujarwo mengatakan, bantuan hukum bagi masyarakat miskin adalah bantuan hukum yang diberikan kepada masyarakat miskin yang mendapat masalah perdata, pidana maupun tata usaha negara yang diberikan melalui organisasi bantuan hukum (OBH) terakreditasi.   ""Program ini diberi nama 'Bahu Teman' atau Bantuan Hukum Bagi Masyarakat Miskin Kabupaten Sleman dan merupakan program kolaboratif yang didukung aplikasi layanan daring sehingga memudahkan akses bagi masyarakat miskin mendapat hak-hak hukumnya dengan cepat, mudah dan tepat sasaran,"" katanya. Baca juga: Bantuan hukum masyarakat miskin di Jateng dianggarkan Rp5,2 miliar  Baca juga: Kemenkumham lanjutkan program bantuan hukum bagi masyarakat miskin  Baca juga: YPI beri bantuan hukum gratis masyarakat miskin di SumutPewarta: Victorianus Sat PranyotoEditor: Guido Merung    COPYRIGHT © ANTARA 2023 ",hukum
" Senin, 4 Desember 2023 18:11 WIB",,Pemerintah surati DPR agar revisi UU MK ditunda,"                     ANTARA - Pemerintah mengirim surat kepada DPR RI agar menunda revisi Undang-Undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi (MK). Hal tersebut disampaikan Menteri Koordinator Bidang Politik, Hukum, dan Keamanan Mahfud MD di Jakarta, Senin (4/12). (Tri Meilani Ameliya /Ahmad Muzdaffar Fauzan /Denno Ramdha Asmara/Rinto A Navis)        ",hukum
